"bin","bbl","evictions"
1004200,"1003480048",1
1004202,"1003480050",5
1004203,"1003480051",2
1004213,"1003480074",6
1004218,"1003490015",2
1004219,"1003490016",6
1004220,"1003490017",1
1004221,"1003490018",1
1004222,"1003490019",4
1004223,"1003490020",2
1004226,"1003490023",4
1004227,"1003490024",2
1004228,"1003490025",2
1004230,"1003490027",1
1004232,"1003490029",1
1004233,"1003490030",3
1004234,"1003490032",1
1004235,"1003500001",2
1004241,"1003500012",2
1004243,"1003500016",5
1004246,"1003500020",3
1004247,"1003500021",1
1004248,"1003500023",1
1004250,"1003500028",1
1004252,"1003500030",2
1004253,"1003500033",1
1004254,"1003500034",1
1004255,"1003500035",1
1004256,"1003500036",3
1004260,"1003500039",1
1004269,"1003500057",2
1004284,"1003500080",1
1004286,"1003530020",2
1004288,"1003530023",1
1004289,"1003530024",3
1004299,"1003530049",1
1004300,"1003530051",1
1004302,"1003530057",3
1004304,"1003530060",2
1004313,"1003540020",24
1004315,"1003540027",1
1004317,"1003540029",2
1004327,"1003550038",5
1004328,"1003550039",1
1004330,"1003550044",3
1004332,"1003550048",4
1004333,"1003550049",3
1004340,"1003550062",3
1004342,"1003550067",8
1004353,"1003720006",2
1004355,"1003720010",1
1004358,"1003720018",12
1004360,"1003720022",3
1004372,"1003720051",3
1004375,"1003720055",1
1004376,"1003720056",1
1004380,"1003730008",4
1004386,"1003730018",6
1004387,"1003730019",6
1004392,"1003730032",1
1004393,"1003730034",4
1004408,"1003740001",2
1004409,"1003740002",4
1004420,"1003740043",3
1004440,"1003750028",4
1004442,"1003750030",1
1004445,"1003750039",5
1004447,"1003750042",3
1004461,"1003750061",3
1004462,"1003750062",7
1004468,"1003760005",2
1004469,"1003760007",4
1004471,"1003760010",1
1004472,"1003760011",4
1004474,"1003760014",2
1004487,"1003760031",10
1004490,"1003760039",1
1004491,"1003760041",4
1004494,"1003760053",1
1004499,"1003770002",1
1004503,"1003770008",1
1004506,"1003770016",2
1004507,"1003770026",17
1004508,"1003770037",4
1004527,"1003780004",9
1004534,"1003780033",2
1004536,"1003780035",5
1004537,"1003780039",2
1004541,"1003790010",2
1004543,"1003790012",1
1004552,"1003790032",5
1004554,"1003790034",3
1004556,"1003790037",4
1004567,"1003840006",1
1004580,"1003840023",1
1004584,"1003840027",1
1004585,"1003840029",9
1004587,"1003850001",1
1004589,"1003850005",6
1004596,"1003850029",3
1004598,"1003850034",4
1004603,"1003850053",4
1004604,"1003850054",1
1004611,"1003860010",5
1004616,"1003860020",2
1004619,"1003860038",1
1004620,"1003860053",1
1004623,"1003860058",1
1004628,"1003870015",1
1004646,"1003870041",1
1004649,"1003870047",6
1004650,"1003870048",4
1004652,"1003870119",5
1004653,"1003870124",5
1004657,"1003870140",4
1004658,"1003870141",5
1004666,"1003870153",1
1004667,"1003870157",1
1004669,"1003890002",1
1004672,"1003890006",5
1004673,"1003890007",4
1004674,"1003890009",2
1004677,"1003890019",5
1004678,"1003890020",3
1004679,"1003890021",4
1004680,"1003890022",9
1004682,"1003890027",3
1004686,"1003890031",3
1004690,"1003890042",1
1004692,"1003890044",2
1004693,"1003890045",2
1004704,"1003900009",3
1004710,"1003900020",4
1004713,"1003900024",4
1004715,"1003907502",3
1004725,"1003900055",1
1004726,"1003900057",1
1004733,"1003910001",1
1004734,"1003910003",1
1004737,"1003910009",2
1004743,"1003910020",1
1004746,"1003910033",1
1004747,"1003910035",2
1004748,"1003910036",1
1004749,"1003910037",6
1004750,"1003910038",2
1004757,"1003910055",11
1004760,"1003910059",11
1004763,"1003920005",1
1004765,"1003920007",2
1004767,"1003920016",2
1004768,"1003920017",13
1004769,"1003920022",10
1004770,"1003920025",3
1004771,"1003920026",2
1004772,"1003920027",10
1004774,"1003920033",3
1004775,"1003920034",1
1004778,"1003920037",5
1004781,"1003920045",2
1004783,"1003920048",29
1004875,"1003930006",1
1004876,"1003930007",4
1004877,"1003930008",2
1004881,"1003930016",5
1004882,"1003930018",1
1004884,"1003930021",5
1004887,"1003930025",1
1004892,"1003930035",2
1004893,"1003930036",2
1004894,"1003930037",5
1004897,"1003930040",2
1004898,"1003930047",1
1004900,"1003930051",1
1004901,"1003930055",6
1004903,"1003940001",1
1004904,"1003940003",2
1004910,"1003940036",3
1004911,"1003940037",5
1004914,"1003940044",14
1004916,"1003940050",3
1004918,"1003940053",10
1004922,"1003940063",1
1004923,"1003940064",1
1004924,"1003940065",4
1004926,"1003950001",3
1004927,"1003950012",6
1004930,"1003960003",1
1004931,"1003960004",4
1004932,"1003960005",2
1004942,"1003960026",1
1004943,"1003960027",4
1004947,"1003970012",15
1004948,"1003970018",6
1004950,"1003970025",1
1004951,"1003970026",3
1004953,"1003970029",8
1004956,"1003970033",3
1004958,"1003970035",8
1004960,"1003970063",13
1004965,"1003980006",2
1004967,"1003980018",1
1004971,"1003980026",6
1004978,"1003980043",1
1004983,"1003980052",4
1004984,"1003980053",5
1004985,"1003980061",6
1004986,"1003980066",2
1004990,"1003990011",13
1004991,"1003990024",5
1004992,"1003990026",8
1004994,"1003990030",9
1004996,"1003990035",7
1004997,"1003990036",2
1004999,"1003990038",7
1005000,"1003990039",8
1005003,"1003990043",5
1005004,"1003990044",4
1005006,"1003990049",1
1005007,"1003990050",2
1005009,"1003990058",1
1005010,"1004000001",6
1005014,"1004000012",1
1005015,"1004000013",2
1005016,"1004000014",1
1005017,"1004000015",1
1005024,"1004000024",1
1005025,"1004000026",6
1005027,"1004000038",4
1005028,"1004000039",4
1005034,"1004000050",12
1005035,"1004000052",1
1005038,"1004000055",2
1005039,"1004000056",1
1005041,"1004000058",2
1005042,"1004000059",2
